comment,tag
Being a parent and an educator are very different things,1
"my child care educator told me about my childs adhd, I had never heard about adhd",
"Pauline is right, she had 4 kids and she’s best mum ever",0
Because the 80s was a long time ago.,1
👍 Pauline Hanson for P.M,0
Pauline is so right !,0
She’s got my vote,0
Pauline for PM,0
She did NOT say that…,0
$100k Hanson is suddenly against pay rises 🤔,1
Pauline 4eva,0
Shes right. 👍,0
Yes im as a single mum i did 440 hours workplacement to work in childcare 🥺,
yeah i agree but i did the tafe course of cert 3 in childcare . Compared to parenting it’s a walk in the park. Being a parent is much harder.,
Go Pauline,0
vote 1.Pauline,0
please explain....😁😁😁,
I dye my own hair.. opening my own salon tomorrow.. who wants an appointment?,
Pauline for PM,0
What if Pauline is even preparing that Teachers dont need qualifications to teach in the school. 😁,
I would want my child care worker to have education regarding babies and toddlers etc development !,1
Gina told her what to say,1
Thank you so much you speak up for the educators 🥰,1
So true. It is called child care not child education,
Yeah did politicians not just get a pay rise,1
"As an Early Childhood Teacher for the last 30 years - thank you, well said!!",1
Well said ❤️,1
Absolutely spot on 🥰,1
“ was” …,
child care starts at happy home care 😊,
What a silly comment,1
"How much does a ""degree"" in child care cost?",0
agreed.,1
Agree 👏👏,1
Astonishing,1
Vote A1’,
Not everyone is the same Pauline,1
was?,
Oh dear,
"Do babies come with an instruction manual for parents or other adults caring for them? No. Some people naturally have strong maternal or paternal instincts, while others develop their caregiving skills through experience, support, and learning.",1
AAAAAAAAAAAGGGGGGGGGGGHHHHHHH!,
EXACTLY 💯 💯 💯 💯,1
Spot on,1
THANK YOU,1
yes,1
Back to the future…,
