comment,tag
Your ads campaign team needs a pay rise.. this is elite 😆,1
No but like why did she do that 😭,1
,
,
go Gina 🔥💪,0
This is gold and true,1
What is this really 🥺😅😳,
,
GINA HAS LOST THE PLOT,1
Gina's puppet,1
I’ve been WAITINGGG for you to post this here because I think I want to use the sound bite hehehehhe,1
,
,
Best meme ever made….love it 😂😂😂😂😂,1
,
Get real no way,
,
"Not grrrrr, it’s tick tick tick tick tick tick tick.",
she can listen to my fart😂😂😂😂,1
Incredible post,1
Labor 💪💪,1
Brrrr,1
Grrrr Grrr 😁,1
Great use of free will,1
How good is this post?!!,1
this cannot be real bro 🙏,1
Atleast one official thinks the same as i do😅😅,
"More of this and longer, make downloadable too 👏🏼",1
👏👏👏👏is this on Spotify yet 😂😂😂,1
This is brilliant,1
Love it,1
one onk,
Grrrrrrrr,1
Gold!!!,1
haha,1
😂😂 Spot on,1
Hahahaha,1
this is hilarious,1
Great Post.,1
,
brrrrrrr,1
Pauline for PM 🥰,0
,
,
this is hilarious 😂,1
