comment,tag
She has no idea on any subject,1
We know exactly why she supports him...,1
one nation,0
we didn't have a problem with Iran,1
,
"Nuclear weapons would be bad, but imagine if they also had 'that type of thing'. Terrifying.",1
,
This guy is exactly right!! We all need to vote for one nation!!,0
Well that what worries me,1
vote 1.Pauline,0
,
Vote One Nation!,0
She is shaking 🫨 😂,1
intrest rates are about to go up again due to labors spending.,0
oh no paulines a scammer.... shock horror,1
,
Auntie Pauline 💪💪💪,0
vote one nation,0
Pauline for PM 💯,0
One Nation all the way,0
Pauline Power 🧡,0
vote one nation 💯,0
What about the evil of killing 170 school girls,1
"Why surprise,, she openly admitted that she love to hv Israel in Aus , high tech weapons bla bla",1
,
,
Pauline pelican is headed for a swan song.,1
don't cry,0
"Just like Iraq having weapons of mass destruction, I believe they still looking for it 😂😂😂",1
She is clueless.,1
she is the bloody evil,1
"She would rather Australia go to WAR instead of showing logic, common sense and diplomacy.",1
"would you rather Iran have nuclear weapons..
so.. you support islamic extremists that have nuclear weapons ?",0
Don’t understand what problem with Iran she’s talking about,1
"Pauline says a lot of things,which amount to nothing.",1
😳😳😳,
🥰🥰🥰,
"Yeah, I don’t like Pauline Hanson at all. She’s a loser just like Donald",1
you are evil 😈😈,
what evil has happen with aran,
🤣🤣🤣,
👍👍👍,
😡😡😡,
And that type of thing and you want her to run a country,1
Keep spewing lies soy boy. One Nation is the cure for Australians.,0
"Well, at least Pauline has come out and openly said she supports a fascist dictator. And she’s openly acknowledge that she supports the illegal attack on Iran and the murder of the innocent children. Now we know where we stand with her openly. We don’t stand we run.",1
"She is in fact UN Australian. You cannot claim to love Australia while constantly campaigning against its core values of inclusion, fairness, and mutual respect. Attempting to reshape the country into something it is not is the very definition of un-Australian.""",1
