comment,tag
"And still, she looks more promising than the current leadership.",0
What did other politicians run?….Nothing,0
Still voting for her,0
VOTE GREENS,1
She still has my vote?,0
That’s Australia’s future PM,0
Name 1 honest Labor politician,0
what were union membership numbers 30 years ago?,0
Also 30 years with politics fw.,1
"She's worth over 20 million, so she's done something correct.",0
Union membership is at an all time low. So much for looking after workers. As businesses close. 😂,0
One nation 👍,0
Yes some things are better left in the past especially unions,0
Your point?,0
And what are the other career politicians?,0
yeah running a business would of been way harder then,0
so many bots in the comments lol,1
At least she has been in business and seen the other side. Unlike the other politicians that think money grows on tree's and don't know how to spend it wisely.,0
Yes she is a Trie Ozzie strong and determined,0
one nation has my vote 😁👍,0
running a viable business is what we need.,0
vote One Nation,0
What’s your point exactly?,0
Pelican Pauline,0
Hundred percent 90% of all the other politicians were lawyers,0
EXACTLY 💯 CORRECT SHE HAS LOTS OF EXPERIENCE WITH REAL LIFE PROBLEM SOLVING. AND THEY ARE TRANSFERABLE SKILLS,0
my favourite pelican good job Pauline keeping up the good work 👏,0
did she time travel? was she not bought up with todays times like all of us?,1
What about colonel sanders,
Pauline for PM 🧡🧡,0
Still run more Business than the current PM.....😂🤣🤣😅😂,0
Vote One Nation,0
Has my vote,0
A billion times better than current rubbish.,0
She’s had to balance the books 👌,0
I am curious what happened to the fishing & chip store.,0
Unions ffs,0
point whoosh,0
One Nation 💯,0
The KPIs for running a country are vastly different from the KPIs for running a country. That also applies to the skill set requirements,1
are we forgetting that the fish and chip shop was going broke and that's why she ran for office,1
Vote one nation,0
One PM was a train driver,0
Exactly look how far we have come and Pauline will take us further.🥰🥰,0
"Hospitality was a fairly decent and easy hustle back then, if you screwed up that was you.",1
yes,0
Nope. Never.,1
she certainly can AO,
