comment,tag
Vote One Nation !,0
We are behind you Pauline Hanson,0
"As an Australian, growing up in school I was taught ‘if you got nothing nice to say don’t say it at all’ along with the Australian’s honesty culture. You said something, own it or resign. We don’t want people who can’t own their bad behaviour trying to run the country.",0
🇦🇺⚔️🇦🇺 One Nation,0
When you get in Pauline you can get them,0
"Keep fighting Pauline, this country is screwed without you!",0
you will win regardless full support from my Family,0
Not one mention to aboriginal people or thanking them for using their land,0
keep at it Pauline your amazing,0
💯 Pauline for President,0
Make us vote for you even more ❤️❤️❤️❤️❤️,0
VOTE ONE NATION 🇦🇺,0
Is she reading script ?,0
Judges are compromised 💯,0
i agree with you,0
,
we need free speech written into law and our constitution,0
Gina has enough money to finance Pauline’s defence. People who have valid views on Israel 🇮🇱 can be heavily legally persecuted.,0
Judges are bought by the government,0
Go Pauline go One Nation go,0
Pauline for pm,0
Vote one nation,0
"So true, well done for calling it out 🧑‍🦰",0
We love you Pauline! not the first or the last blow you’ll take but just know we back you!! one nation#1,0
Kiwi here. 100% suport you Pauline... things need to be sorted.,0
👍🏻👍🏻 fight it Pauline,0
WE AUSTRALIAN'S HAVE THE RIGHT TO SPEAK UP 💯💯💯💯💯💯💯💯💯 🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺 WELL DONE PAULINE ✅✅✅✅,0
"they will do and say anything to stop you ,you go Pauline VOTE ONE NATION",0
keep going Pauline 💪 Australians voice is who you are,0
Vote 1 for One Nation.,0
HAIL QUEEN PAULINE 👑🙌🏽,0
"Judges are so far removed from reality, they have no idea what the public wants...",0
Lassgo Aunty Pauline 👌,0
go 1 nation,0
Vote one nation 👍😁,0
Keep fighting Pauline! 🧑‍🦰🧑‍🦰 One Nation all the way!,0
Go Pauline,0
bloody oath,0
Pauline for PM,0
we've got your back Pauline 💖,0
Good luck Pauline 🤞🤞❤️,0
Australia people first. Vote One Nation 🧡🧡🐨🇦🇺💯👏👏,0
One nation forever,0
free speech is dead in Australia,0
Keep going Pauline,0
"They are scared, and playing the BS card, you are so important to alot of people Pauline, keep fighting the good fight.",0
i love pauline hanson,0
"Go for it Pauline, I hope you win. I'm so sick of this country shutting down people's views & changing the narrative to suit their own agenda!!",0
Sounds like certain people don't like the truth. We need more Politician's like you Pauline that will stand up for all true Australians.,0
one nation all the way baby,0
