comment,tag
one Nation 🇦🇺 or No Nation,0
"Worked with her in the 90’s , she only cares about making money , will take money from anyone",1
ONE NATION ALL THE WAY 🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺💯,0
I wonder what she will cling to when Labor lowers the immigration numbers.,1
"Born here, but seriously thinking of moving away to another country",0
people can't handle the truth 😳,0
Truths told.,0
GO PAULI GO ♥️♥️♥️♥️,0
Vote One Nation,0
One nation or no nation!,0
Go Pauline one nation,0
One nation all the way!!!,0
Thats true well said,0
Pauline is speaking the truth 😏,0
Vote one nation to save Australia,0
one nation,0
Getttttttt itttttttttt Pauline 💪🏼🙌🏼,0
vote one nation,0
Cool coat,0
She’s right,0
One Nation all the way to Government,0
Pauline is right on,0
truth,0
The truth will always prevail,0
go Pauline,0
One nation🧡,0
unreal.,0
I like man other Aussies can’t wait to vote for 1 nation,0
,
You have my vote,0
We need One Nation Now,0
Definitely Albo for 3rd term,1
,
One Nation,0
VOTE GREEN 💚,0
,
,
,
,
,
,
What crap.,
thats a new Labor supporter every 59 seconds,
,
Can’t wait for you to be PM #makeaustraliagreatagain,
