comment,tag
PAULINE FOR PM,0
Our only hope. ONE NATION,0
"You go girl, a lot of Australian people behind you?",0
we need someone to challenge the current government they are taxing Australians one of the highest taxed brackets in the world !!The current government are blowing and lending the money !! How about giving Aussies homeless a home rather than giving billions away in aid .just until country debt is under control!!,0
"it's not the ""Australian flag"" it's the British flag just with stars added to it 😏",
you dont say what I'm thinking,1
Love Australia 🇦🇺 Love Pauline 🧡 Vote One Nation 🗳️,0
im for Pauline,0
You say what I think. Go Pauline,0
GO Pauline! We love you!,0
Pauline for PM.,0
You can do it for Australia.,0
She is extremely beautiful,0
You don’t say what I am thinking,0
Great woman great leader,0
Well said Pauline! 🇦🇺💪,0
"Good on you, darling whatever you say it’s true",0
It just makes perfect sense ❤️❤️❤️love this lady,0
Good madam,0
Vote 1 nation,0
How to join the party,0
what exactly the problem is? are you representing Aboriginal?,
I don’t care 🤷🏼‍♂️what anyone says Pauline has had work done ✅ and looks 👀Amazing 🥰🥰🥰,0
🇦🇺Pauline 🇦🇺,0
Your an beautiful Australian,0
👏👏👏 love you Pauline,0
First,0
Please bring Jacinta and Rennick over to one nation. With them on board it will make One Nation stronger. They would your party a super power,0
,
You say exactly what I am thinking and have thought…. Pauline Hanson for Prime Minister,0
👌well doned Paulined,0
go pauline,0
Spot on legend. You have courage and most brave above all. Standing as a woman on your own and fighting for australia for decades exhausting yourself for the ungrateful and selfish ones here. But you will make this country the best it will ever be you will win i know it. Teach the world and australia the biggest life lessons. You are too good worked too hard for too long and put up with others bullshit for way too long. You have big supporters and your honesty will win always hands down legend 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 honesty and truth looks so good on you and for us all,0
,
Love you Pauline,0
"They twist every thing she says
This woman will save Australia",0
Pauline for PM,0
"Pauline, you’re the only one who’s had the guts to say any of it 👏👏👏",0
She was very happy to use government money to buy herself a house.,0
good lady. one nation only.,0
One Nation for Australians,0
Gutsy alright,0
She's right. She's not extreme. She's right where we wish ALL our politicians were at.,0
"God bless you, Pauline. Stay in a fight. You’ve got my vote.",0
bring it Pauline I'm a hard working lad and struggling still,0
"You say what we can’t , we need you Pauline God Bless Australia 🇦🇺",0
drop income tax and i recon you'll get all Australians voting for you,0
💯 PAULINE FOR PM 👏,0
Got my vote,0
