comment,tag
If i wore that in a bank or anywhere id get arrested 😂,0
vote Hanson 🗳,0
Pauline for PM,0
VOTE PAULINE ASAP,0
Pauline for life,0
Pauline for PM asap,0
stay strong,0
what was the last word she said ?,
"I Australian cultured so hard, my nipples peeled.",0
Well said,0
"If I can’t wear my motorcycle helmet into a servo, she can’t wear that.",0
,
Wonder how she feels when we hot weather in Australia,0
in the end she said child enough said!,0
WHATEVER,
I’m convinced they wear it to get attention,0
,
they don't follow the laws,0
Child and marriage should never be in the same sentence.,0
They shouldn’t be aloud to even be having that on,0
If the CHILD agrees to arranged marriage it's okay WTF,0
take it off,0
"‘As long as the CHILD themselves are fine with it, then I don’t see a problem with it’ 😳 WTF… not in Australia thanks!!",0
It’s illegal to walk into a service station where your face covered.,0
in all honesty it shouldn't be allowed the Burke in 🇦🇺 surely,0
🧡🧡🇦🇺,0
This - this is what we don’t need in Australia,0
Don’t do what britain has done lost its identity and dignity it’s a total overpriced waste land .. for anyone who isn’t wealthy ..,0
"she looked ""right"" shes lying 🤥",
is that going to use this door on Facebook or tiktok just going through that spoke to you like that she wants to realize that she's a descended overall culture very racist because they frightened over I believe you stay stron strong sister,0
in the old original culture they had six or seven wives so what the f*** she's talking about,0
the left always send the kids to fight there battles.,0
🥰🥰🥰,0
your a brainwashed girl your a prisener of muslim men,0
"What she means is that I’ll marry a man with 6 other wives, have multiple children, jump onto the Centrelink train claiming single mothers rights. Ague with staff that she demands a housing commission home. Husband never works as he grabs a bit of cash off his 6 wives. Opens a NDIS office ripping off millions of the real Australian tax payers. F%#k it never ends with these guys",0
SO YOU ARE UNAUSTRALIAN YOU DRESS UNAUSTRALIAN SO YOU DONT FIT..!!! BECAUSE IF I WAS WALKING WITH BOTTLE OF WHISKEY IN MY HAND AND MY WIFE HALF NAKED IN YOUR MUSLIM COUNTRY I WOULD GET ARRESTED..!!! SO YOU SEE HOW I DONT FEET IN YOUR COUNTRY SAME AS YOU DONT FEET IN IN OURS..!!!!!!!!!!,0
You’re not Australian at all.,0
What you see with this Muslim woman she's wishy-washy she thinks we should go with the laws that are in the country just to be politically correct but then she believes strongly that she should have Sharia law the two are oil and water they can't coexist,0
Wearing a bikini to beach is Australian culture! This woman is a joke! She can't have a debate with any sensible person. All she can do is insult journalists and put it as being honest.,
So six year olds should wear bikinis to the beach? So cis men should wear bikinis to the beach? It’s Australian culture isn’t it?,
"But you not Australian wearing that outfit, go home",0
