comment,tag
over 1000 students btw!,
Fyp think I’m a loser,1
Always voting Pauline,0
Go Pauline Hanson bro,0
Im in enemy territory because I'm lgbqt and a girl,1
WE are all voting for pauline,0
got my vote as an immigrant.,0
Australia’s cooked left right and centre 🥀,
Pauline’s got my Vote!!,0
FYP thinks I’m a loser,1
PAULINE WILL YOU LEGALIZE E-BIKE THROTLES TO 20kmph,
"Go Pauline.
Aussie Aussie Aussie
oi,oi,oi.
💚💛💚💛",0
gang. NO ARGUMENTS: but can someone actually explain how she will make australia better?,1
Give me 1 reason why I should vote Pauline,1
Anyone who hates her is the reason we need her VOTE 1 PAULINE !,0
Please explain!,
I’m assuming Pauline is right wing I’m from The United Kingdom,
if she keeps woman's rights and the payments to parents then I'll think alb it,
Our next prime minister,0
Love Pauline always have always will,0
VOTE ONE NATION,0
Pauline for PM,0
Pauline hanson,0
you have them running scared 💪,0
Pauline all the way 🥰🇦🇺,0
Pauline has my vote,0
❤️from the 🇬🇧,0
One Nation,0
Vote Pauline,0
Vote One Nation 🧡🧡🧡🧡,0
Pauline is the future,0
"Go One Nation.
You Have My Vote.
Time To Save Australia.",0
Vote for Pauline,0
yeah unlike every other party she tells it how it is!,0
I love you Pauline as long as u unban e-bikes,0
vote Pauline #1,0
Pauline is in the pocket of Gina R.... and is a big fan of trump... why would we want that here,1
vote one nation,0
She has my support from Israel ✌️❤️love from tel Aviv,
Go Pauline,0
