comment,tag
Going against your own team is sick,1
Pauline your a true hero 💗,0
"I’m gonna lie, I love you!",0
JUSTICE FOR LGBTQ AND WOMEN RIGHTS!!!!!,1
,
Lets lying! We love you! youre the goat!,0
,
Who hate her,0
It’s not triple O it’s triple t,
WOMAN DESERVE THE SAME RIGHTS,1
"hell yeah,I'm moving to Australia just to vote her",0
"JUSTICE OF WOMANS RIGHT
EVERYONE JOIN ME",1
going against your own team btw,1
,
i LOVE u as much as i LOVE pig meat ( im muslim ),1
She’s against her own team😭,1
Fyp thinks I’m a loser apparently,1
ratio....?,1
You’re going against your own team btw😭?,1
HELL NAWWWW,1
Wait is ts her acc,
Rudym sie nie ufa 🥰,
,
"yea... no, you do not have my vote",1
just because rights today dosent mean we will have rights tomorrow,1
what the fuck,1
Keys pls 🫶😘,
this is incredibly sick,1
