comment,tag
Anyone notice a pattern 🤨,0
These are honestly the best ads for Pauline 😂,0
WE are all voting Pauline,0
Common thing with everyone he interviewed 🤦🏻‍♂️,0
Im Lebanese Australian im voting for Pauline,0
I'm a army veteran I'm voting for pauline Hanson ✊🇭🇲,0
God help us in the future,0
notice anything about the people hes interviewing,0
omg its so scary.... what have the parents of this generation done?,0
One Nation or no Nation!,0
Yep us normal people are voting Pauline,0
it's hilarious that this is on the official ONE NATION page 😂😂,0
spot the aussie,0
"Lol, this lot are so funny, how mislead are they 😂",0
Makes me want to vote for Pauline,0
VOTE ONE NATION,0
this is one reason we should vote for her look at the country and the young of today,0
One nation you have my vote,0
The woke are rattled ✊🏼✊🏼✊🏼🧡🇦🇺🧡 Queen Pauline 🧡,0
Hey Pauline please reply I support you,0
I'm Aussie born Palestinian ethnicity and I'm voting Pauline 🙂,0
Pauline Hanson will bring our Australia back,0
vote one Nation 💕💕💕💕💕🥰 there's people have been brain washed,0
We love Pauline,0
Vote for ONE NATION,0
"Absolutely We are All, Voting Pauline Hanson/ One Nation 💯🇦🇺🧡🧡🧡",0
🤣 Makes me want to vote for 1 nation,0
Pauline Hanson for pm idgaf,0
ONE nation 🧡🇦🇺 💯👍,0
I’m aboriginal and choose not to vote. But I’ll Defineately come out of retirement to vote for Pauline,0
VOTE ONE NATION 🥳🥳🥳💪🏼💪🏼,0
Go Pauline,0
Looking at this crowd really cements a one nation vote for me,0
"God help us if this is our future
Australia first
Vote One Nation",0
I'm noticing a theme,0
Go Pauline go one nation,0
Hurry up Pauline. We need you now!!! NOW!,0
your our last hope Pauline don't let us down,0
gingerqueen for prime minister,0
Pauline you are a pretty good senator because I believe your decisions will help Australia as a society,0
This is brilliant advertising very smart,0
WOW That just said it all! Vote One Nation,0
Pauline for PM 👏👏👏🥰🥰🥰🥰🥰,0
One nation 🧡,0
🥰 Pauline is the best,0
One nation for PM,0
Pauline go get them,0
