comment,tag
Out of curiosity if she loves Islam and all that stuff why does she stay in Australia?,0
They are brainwashed,0
"She said ""if the child is ok with it"" speaking about marriage. 😳",0
What the meaning of multi cultural,0
"please Australians, don't let your country became like uk...",0
Why didn't you ask her if women can have more than one husband?,0
The Muslim girl is right,1
Australians don’t dress like that.,0
"""if the child themselves is fine with it"" crazy talk",0
Wake up Australia 🇦🇺,0
They believe in ‘sharia law’ yet they don’t want to live in a country under ‘sharia law’ 🥴🤔 WHY,0
So why has she chosen to live in a non islamic country?,0
VOTE ONE NATION!!,0
Did she say child 😳,0
So a nun is not following Australian culture because she doesn’t wear a bikini 😂,0
"Unfortunately, if Pauline doesn’t get in Australia is gone she’s not racist whatsoever definitely got my vote",0
they should not be allowed go cover face,0
A Nun can't wear a bikini to the beach.,0
they've goto go,0
“if the CHILD is ok with it” and YOU don’t see the problem ??!? nah im done,0
notice how she said.. as long as the child is fine with it ...,0
clutched a 1 v 3,0
They are so brainwashed,0
"I can guarantee you if I was Muslim and choose not to cover my hair, other muslims would consider me less of a Muslim.",0
Australia is going to be the new America if one nation happens to,
GO PAULINE!!!,0
I don’t understand the hate against Muslims tbh,1
Believing in sharia law (which itself mandates that it is higher than any law of the land) but then saying it doesn’t apply in Australia because it’s against the law… one of these things can’t be true alongside the other my dear.,0
"Poor Australia, you’re the next after Europe 🥲",0
I need to see her face.,0
"I can move to India and live there for however, long but that does not make me Indian",0
debating a school student btw,1
ONE NATION OR NO NATION!,0
I am Australian and you won’t see me wearing a bikini either.,1
Brave girl she knows how to deal with racist and islamopbobic people,1
“if the child is fine” NOOOO children should not be getting married,0
Australia better wake up. QUICKLY.,0
Wearing a bikini isn’t just Australian culture… 🫤,0
kids can't give consent to marriage. its sick,0
Girl is putting women’s rights into the dark ages 😡,0
they tell lies until they get into power. look at nyc,0
"“Married off, if the child is OK with it” her exact words.",0
"Unfortunately, they don't have independence of thought because they've been brainwashed since birth 😳.",0
im Australian i wouldn't wear a bikini 😂🙄,0
"when i would go to afganistan and would want to wear a bikiny because it's MY culture, they would 🔫 me",0
And Pauline's husband was an immigrant,0
Alright so bikini equals Australian?! i like it😁,0
