comment,tag
Not voting One Nation but completely agree with what she said in this video.,0
She was hot,0
She’ll put Australia back to how it once was and should be,0
What does she mean “If” Aboriginal people are disadvantaged?,1
,
Vote Pauline,0
I cannot wait to vote her ❣️,0
me and my faimily of 12 are coming to Australia inshallah🥰🥰🥰🥰,0
we all love Pauline,0
Common Sense. 👍,0
This is the only thing I agree with she says,0
What a gold interview moment!!! 😂😂😂😂 go Pauline you’re such a legend always has been! and you’re finally getting the recognition you deserve for standing up against bullies and protecting Australia 🇦🇺 ❤️,0
Pauline will put an end to racism we are all equal Australian,0
I love you Pauline,0
This making me like her,0
One nation or NO NATION,0
Go Pauline,0
I ❤️that she has used one of the ABCs comedy skits thats anti Pauline Hanson as one of her publicity stunts 👌,0
as a low payed tradie I get $10 per year more than them slaving away,0
"As I step into Social Services as a chosen career, I'm discovering more and more just how much Australia assists every aspect of an Indigenous person's life - and it shouldn't be so.",0
"I don't get hand outs, where's my free car, where's my free house?",0
if you unban ebikes ill tell my whole bloodline to vote for you,0
Sounds like what David Seymour talks about. Makes sense…decisions made on need not race.,0
Pauline plz unban e-bikes 🙏,0
Long live Pauline,0
WE LOVE YOU PAULINE 💗,0
"than if you agree, vote One Nation. just saying",0
At this point vote me,
Nation One all the way !!!!,0
,
Vote Pauline,0
,
20yrs later .. people are still deliberately misquoting her😂😂😂,0
The way they tired to make her look bad but they ended up looking bad,0
she is right,0
+1 vote,0
Shes amazing 👏 I would love a lady like her in politics in Ireland !,0
,
Pauline for pm.,0
When the reporter didn't do his homework....awkward....😳,0
would.,0
he can't argue,0
Aunty Pauline loves her donations,1
"She was always GOATED, we were lied to 😩",0
why they are you trying to take woman's rights away,0
,
Pauline was a baddie back then,0
Pauline’s a stunner! Still stunning reporters to this day and representing Australians with common sense! Go Pauline 🙌🏻,0
I don't live in Australia what's happening tho,
Inequality and she knows,
