comment,tag
She is correct,0
Didn’t she leave school at 15?,1
and what evidence has she based this on?,1
Shes write,0
why did she leave School at 15,1
"Just remember, this is the same lady that stated with conviction that submarines can only stay under the water for 20 minutes at a time.",1
Leaving school at 15 back then would be equal to most uni degrees now.,0
"100% right. In Scandinavian countries like Finland, teaching is a highly respected profession. Entry into teacher education is extremely competitive, and only top-performing students are accepted. When you have the best teachers educating the next generation, the outcomes are naturally better. We should be aiming for the highest-quality educators because our children's future depends on it.",0
What she says is so damn true!,0
Far out how can anyone support this woman? 😳,1
She is correct,0
72 years old,1
omfg its like listening to fucking trump,1
Loving the unions getting on board,1
,
Says,
people is glass houses?,1
Her teachers had no idea.,1
"Pedagogy, Pauline. The word you’re looking for is pedagogy.",1
They speak English though,0
she is correct,0
ploiz expline,1
It just makes me cry!,1
"What has happened Pauline preaching on education, please explain?",1
there’s a very obvious reason they want to demolish education.,1
"it's not the teachers.
The Australian Curriculum, Assessment and Reporting Authority (ACARA) designs the national base curriculum, which is then approved by Commonwealth and state education ministers. Individual states and territories adapt these standards into local syllabuses for their schools.",1
Australians used to be high on the list of out educational lists here in Australia. 😂😂😂😂😂,1
"We currently rank 3rd globally, not hard to do some homework",1
How do you get better teachers . Maybe lower wages . Drrrrrr,1
She is correct,0
Why wasnt she disciplined.,1
Did she really say it's a bad thing to make people feel good about themselves 🤣,1
to because Hanson set the standard for education,1
Good grief,1
,
Is she describing herself????,1
Is there anything Poorleen does like about Australia?,1
A woman who asked “please explain” when presented with the word ‘xenophobic’ is concerned our teachers aren’t of a high enough standard 😂,1
Which generation taught them?….,1
Look who is talking,1
So outdated 😳,1
A Do bladder talking about do goodness.,0
How many degrees she attained?,1
"If you have no degree in economics or law, how can you lead an advanced country like Australia? Don’t kid us please",1
It’s the pot calling the kettle black,1
she's afraid that educated people won't vote for her.,1
We know who has no idea and it isn’t the teachers.,1
she wasn't wrong 😏,0
