comment,tag
where has she ever said that?,0
Vote One Nation,0
maybe do some work,0
We are already going down the tubes mate getting poor I feel it and so does normal rational people.,0
There money train is gone without Labour,0
there panicking,0
VOTE ONE NATION,0
VOTE ONE NATION 💯💯💯🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺👍👍👍,0
I expect a class action in the future against mining companies. long term exposure to toxic minerals reduce life expectancy and fertility. gina would know this,1
,
,
Melbourne 2030 free soup,
Unionist.,
Working? Unionised works don’t work 😂,0
vote one nation. rents will ease. gov spending will go down (thats why mr union here wont be happy) which will ease inflation and reduce interest rates meaning we will have mkre in our pockets,0
Look at what Albo is doing right now to our country,0
rubbish. we do have lazy we orkers some need to be sacked,0
"Shows he has never ever listened to what Pauline has said, has just taken sound bites not the full story. She has voted against wage rises etc because they hurt small businesses and don’t work for the employees either, it just makes everything more expensive. She has stated instead of pay rises, big tax breaks help the poor better. It put money in their pocket without increasing the cost of living. Stop pushing your lies to help the liars in Labor",1
We’ve been made poorer under Albo mate. No one believes unions anymore you’re just in it for yourselves,0
Unions stifle business .,0
"She voted against above inflation wage growth, she didn’t vote against wage increases but don’t let the truth get in the way",0
absolute bullshit,
If the unions hate it then I want it,0
The reason unions don’t want us voting one nation as they will lose investments. lol,0
What a load of bull crap,0
How much are you ripping us off this time,0
unions have overseen the greatest drop in living standards in modern history. Trying hard to keep the Union gravy train going,0
we'll be poorer or you'll be poorer cause you wont be able to rip the public off on government builds?,0
Unions = Labor. They had their chance and have failed miserably,0
"mate your membership is down, people don't join unions anymore",0
Bullshit,0
Labor/Union corruption will be gone though. The LNP in Qld are doing a great job to end the corruption in construction and getting things moving for the state again.,0
💯💯💯,0
😂😂😂,0
😂😂😂,0
that's only because unions won't get the corruption money,0
