comment,tag
Go Pauline 🧡🧡🧡🧡🧡🧡,0
very ordinary actually,0
Pauline for political change,0
,
,
no one is pausing your video that much,0
,
she sure puts money in her pocket xD,0
Go Pauline Hanson Go One Nation Go Australia 🇦🇺,0
Vote One Nation,0
Worked hard? 53% attendance record in the Senate.,1
pelican,
😂😂😂 12% is hardly working,1
,
yeah pH is very oRdInArY 🤪,1
,
She hardly worked during the last 30 years.,1
That was all lies,0
You’re lying,0
So you done all that fundraising and you but it straight in your pocket,0
😁😁😁,
👏👏👏,
🤬🤬🤬,
😡😡😡,
