comment,tag
I thought she hated Muslims,1
Wait a minute!! Is this a Channel 9 programme? I would be very careful in believing this episode.,0
Sounds dishonest,1
The easiest solution is to ban Facebook in Australia,1
"I believe it, iv been saying that for mnths, noticed the bullshit comments people make, you cans ee there fakes",1
they get paid a couple of bucks and they don't care who they work for,1
same thing with jacinta allen earlier this year her followers jumped bit over 50k in one day,
,
so true,1
,
I’ve often wondered if there was similar interference with the referendum. For the polls to flip so dramatically in such a short time was baffling to me.,1
"""everyone falls for this"", no mate not everyone!",1
More interesting is who is funding these pages ?,1
"Turning Point, Atlas, Heritage Foundation.",1
"paid influencers, paid supporters..",
,
Facebook? Who's stuck in a time warp 😂😂😂 Fkn bots 😂😂😂,1
And labor’s spam posts are normal ?,0
Or that,
Pauline Zargovski 😂😂😂😂,1
Whocares,0
Like I and my carefully built algorithm 💯… it does feel like this is angertainment rage farming about angertainment rage farming tho 😂,0
Pauline and Gina are sellouts,1
Hahaha and you think the other political parties are not doing this? Gotta be naive to think it’s only One Nation - ah Murdochs Media lol 😂,0
Hahaha all of One Nation supporters are from another country 🤣,1
bahahahaha rent free bro rent free,0
,
What about all the bot comments we’re seeing on other people’s content? It’s crazy!,1
how is anybody still on Facebook such a dumpster fire of an app,1
Straight from the Trump playbook,1
Something legally needs to be done. Parliament need to talk about this and pass some type of legislation to make Meta liable for election interference because that’s what it is and meta knows it.,1
stop rubbishing the party who will change us for the better go one nation 😇😊😊😊😊,0
"Unions Looking after there money train LABOUR government, stop Labour and stop the unions form making us work work hard to pay for them",0
polin Hanson 👎👎,1
they want Pauline to win so Donald Trump can control Australia,1
i block all of her stuff and nonsense,1
this is the trump playbook 🤢,1
😡😡😡,1
Had to block around 20 of these on FB always with the misleading BS.,1
"Government, unions, public servants and activists all do the exact same thing. Exact same thing.",0
"They are making money of ignorance of many Aussies. Just like Pauline and Gina, just different techniques.",1
😳👍,1
This should be illegal. This is what trump did. Straight out of that pricks handbook. Just like lobbyists should be kept out of Parliament House and all donations declared by parties. What a wrought ☹️,1
"Wait until you learn about the religious groups from Advance, who troll for her. Her anti abortion bills are a reward for their support.",1
how is this legal? What a shit show Australian politics is,1
